"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
1,1714,2,1,1,0,0,0.5,0.5,0,0
2,787,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
3,1527,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
4,2568,0,0,0,0,0,0,0,0,0
5,1090,5,2,3,0,0,0.4,0.6,0,0
6,1624,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
7,2175,6,4,2,0,0,0.666666666666667,0.333333333333333,0,0
8,2473,1,0,1,0,0,0,1,0,0
9,1314,1,0,1,0,0,0,1,0,0
10,492,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
11,2413,4,0,3,1,0,0,0.75,0.25,0
12,2382,1,0,1,0,0,0,1,0,0
13,233,5,2,3,0,0,0.4,0.6,0,0
14,449,6,3,1,1,1,0.5,0.166666666666667,0.166666666666667,0.166666666666667
15,1914,3,1,0,2,0,0.333333333333333,0,0.666666666666667,0
16,234,4,3,1,0,0,0.75,0.25,0,0
17,2764,0,0,0,0,0,0,0,0,0
18,1357,6,5,0,1,0,0.833333333333333,0,0.166666666666667,0
19,1424,0,0,0,0,0,0,0,0,0
20,71,2,1,1,0,0,0.5,0.5,0,0
21,2960,0,0,0,0,0,0,0,0,0
22,292,6,6,0,0,0,1,0,0,0
23,2706,3,1,0,2,0,0.333333333333333,0,0.666666666666667,0
24,2516,2,0,1,1,0,0,0.5,0.5,0
25,735,0,0,0,0,0,0,0,0,0
26,1505,6,2,3,0,1,0.333333333333333,0.5,0,0.166666666666667
27,67,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
28,1644,2,0,1,1,0,0,0.5,0.5,0
29,1886,6,1,5,0,0,0.166666666666667,0.833333333333333,0,0
30,144,1,1,0,0,0,1,0,0,0
31,137,7,1,6,0,0,0.142857142857143,0.857142857142857,0,0
